timestamp,open,high,low,close,volume,volume_quote
1608163200.0,1.426,1.59,1.337,1.536,2601527.25,3820338.632765
1608249600.0,1.538,1.61,1.426,1.461,2164972.371,3267774.050618
1608336000.0,1.444,1.505,1.408,1.486,909730.587,1325579.749977
1608422400.0,1.492,1.579,1.464,1.481,1574366.931,2406735.623375
1608508800.0,1.481,1.5,1.375,1.407,1168837.817,1687262.803825
1608595200.0,1.405,1.449,1.285,1.323,1033380.893,1398138.142961
1608681600.0,1.32,1.39,1.275,1.325,1041364.557,1378329.313724
1608768000.0,1.33,1.336,1.049,1.156,1491231.207,1811226.051725
1608854400.0,1.161,1.249,1.092,1.233,650328.818,774867.399631
1608940800.0,1.233,1.31,1.189,1.206,875642.243,1082571.017415
1609027200.0,1.208,1.215,1.137,1.143,988196.2,1158962.699601
1609113600.0,1.144,1.272,1.091,1.189,1456554.466,1703715.516477
1609200000.0,1.19,1.353,1.182,1.296,1810195.227,2290259.225175
1609286400.0,1.303,1.333,1.15,1.216,1510893.872,1865957.140977
1609372800.0,1.219,1.234,1.129,1.146,1059355.415,1242003.580383
1609459200.0,1.147,1.195,1.12,1.161,869418.335,1002418.389406
1609545600.0,1.163,1.29,1.148,1.215,1288405.539,1567361.210419
1609632000.0,1.216,1.221,1.15,1.169,1161229.077,1366740.176753
1609718400.0,1.17,1.377,1.152,1.311,2537078.98,3122226.66247
1609804800.0,1.31,1.483,1.202,1.441,3212461.118,4380725.616241
1609891200.0,1.445,1.474,1.3,1.411,2072783.625,2895911.27824
1609977600.0,1.41,1.696,1.36,1.55,2985344.777,4565446.277923
1610064000.0,1.55,1.635,1.378,1.46,2334994.351,3548760.980006
1610150400.0,1.464,1.469,1.313,1.424,1782260.397,2491224.807128
1610236800.0,1.424,1.745,1.424,1.571,3700586.54,5932589.922837
1610323200.0,1.572,1.7,1.35,1.465,2429009.307,3706135.65924
1610409600.0,1.47,1.47,1.151,1.297,2324646.213,2971652.390847
1610496000.0,1.297,1.38,1.211,1.231,1487633.079,1919677.325515
1610582400.0,1.236,1.39,1.19,1.309,1455556.308,1872309.034475
1610668800.0,1.31,1.389,1.282,1.341,1522383.827,2031847.11711
1610755200.0,1.343,1.57,1.273,1.532,5135910.766,7279705.765726
1610841600.0,1.525,1.6,1.423,1.509,3866464.954,5853431.205175
1610928000.0,1.509,1.95,1.432,1.785,6318071.785,10722252.667909
1611014400.0,1.782,1.864,1.638,1.755,3797901.167,6600728.253294
1611100800.0,1.756,1.9,1.646,1.699,3081064.957,5338974.319019
1611187200.0,1.694,2.1,1.672,1.944,6234335.03,11640056.774583
1611273600.0,1.944,1.944,1.533,1.574,3508774.737,6029344.503168
1611360000.0,1.575,1.82,1.45,1.69,2747271.282,4548626.167854
1611446400.0,1.693,2.17,1.645,2.1,6287163.989,12216756.222017
1611532800.0,2.1,2.348,1.95,2.099,5592615.995,11846581.975627
1611619200.0,2.098,2.176,1.85,1.917,3515481.093,7153182.882764
1611705600.0,1.919,2.249,1.747,2.052,5268020.631,10319294.137522
1611792000.0,2.05,2.092,1.68,1.785,3909472.519,7253860.01899
1611878400.0,1.785,1.99,1.73,1.805,3315557.531,6257050.508769
1611964800.0,1.808,1.869,1.694,1.758,3557290.475,6294032.803982
1612051200.0,1.757,1.89,1.687,1.874,4110685.811,7378389.777855
1612137600.0,1.881,1.934,1.717,1.843,3814862.512,6968721.726397
1612224000.0,1.843,2.0,1.722,1.942,3588938.077,6717810.307219
1612310400.0,1.942,2.145,1.877,1.924,4139945.151,8223643.573968
1612396800.0,1.915,2.175,1.881,2.108,4137514.614,8408514.143601
1612483200.0,2.099,2.33,1.915,2.21,4693874.93,9927290.191621
1612569600.0,2.213,2.46,2.15,2.313,3802487.989,8790459.144994
1612656000.0,2.311,2.381,2.029,2.091,3695559.986,7942061.294731
1612742400.0,2.091,2.174,1.86,2.038,3192122.867,6542065.127318
1612828800.0,2.043,2.284,1.983,2.174,3725953.058,8131866.886905
